Rating,,Number of Players,,Board Game,Publisher
7.43,0,6949,0,Tiny Towns,AEG
7.24,0,6944,0,Love Letter,AEG
7.52,0,5370,0,Space Base,AEG
7.35,0,3468,0,Point Salad,AEG
7.30,0,2368,0,Mystic Vale,AEG
7.36,0,10175,0,Kingdomino,Blue Orange
7.19,0,4049,0,Photosynthesis,Blue Orange
6.80,0,2575,0,Planet,Blue Orange
7.24,0,1951,0,Blue Lagoon,Blue Orange
7.10,0,840,0,Kingdomino Duel,Blue Orange
7.50,0,5376,0,Gizmos,CMON
8.01,0,4690,0,Blood Rage,CMON
7.93,0,3324,0,Rising Son,CMON
7.59,0,1500,0,The Godfather,CMON
7.71,0,1498,0,Zombicide: Black Plague,CMON
